Year,Month,Day,Home,Away,Hscore,Ascore,Outcome,HFGMade,HFGAtt,H3ptMade,H3ptAtt,HFTMade,HFTAtt,HOBoard,HDBoard,Hassist,Hsteal,Hblock,Hturnover,HPF,Aoutcome,AFGMade,AFGAtt,A3ptMade,A3ptAtt,AFTMade,AFTAtt,AOBoard,ADBoard,Aassist,Asteal,Ablock,Aturnover,APF,Bubble
2018,12,16,CLE,PHI,105,128,0,41,88,12,30,11,17,6,27,28,8,0,12,20,1,51,91,11,27,15,20,12,36,32,5,9,10,18,0
2018,12,16,IND,NYK,110,99,1,40,87,12,34,18,23,11,34,28,9,4,13,18,0,37,89,10,32,15,22,13,31,21,7,1,15,19,0
2018,12,16,WAS,LAL,128,110,1,54,106,13,31,7,10,15,36,30,14,5,17,13,0,44,91,11,36,11,18,8,35,24,10,6,22,13,0
2018,12,19,IND,CLE,91,92,0,38,80,9,20,11,16,9,40,19,6,7,20,21,0,41,85,10,23,7,12,4,31,24,8,6,7,18,0
2018,12,22,LAC,DEN,132,111,1,53,92,10,20,16,17,13,43,28,7,5,15,23,0,41,97,9,31,20,25,13,24,21,10,5,9,16,0
2018,12,23,WAS,PHO,149,146,0,28,76,9,35,24,26,6,31,21,8,1,22,18,0,43,89,3,17,14,16,10,31,24,10,5,12,27,0
2018,12,23,GSW,DAL,120,116,1,42,93,14,40,31,36,15,31,22,9,7,7,27,0,43,103,12,34,20,28,8,41,22,1,2,9,20,0
2018,12,23,DET,ATL,95,98,0,34,83,10,29,17,27,5,36,21,6,9,16,25,1,36,91,6,23,20,25,15,39,24,9,9,16,25,0
2018,12,23,IND,WAS,105,89,1,43,97,9,30,10,12,16,41,24,12,6,17,25,0,28,76,9,35,24,26,6,31,21,8,1,22,18,0
2018,12,23,BOS,CHO,119,103,1,43,86,13,39,20,25,11,36,30,8,4,14,22,0,38,88,8,32,19,26,9,28,24,9,5,9,17,0
2018,12,23,BRK,PHO,111,103,1,40,85,10,27,21,33,14,35,25,7,4,17,15,0,43,89,3,17,14,16,10,31,24,10,5,12,27,0
2018,12,23,CLE,CHI,92,112,0,38,84,7,23,9,14,7,24,11,5,2,11,20,1,43,78,11,22,15,17,7,36,26,7,3,11,19,0
2018,12,23,ORL,MIA,91,115,0,29,70,10,28,23,32,12,28,15,4,5,19,19,1,43,85,16,31,13,19,9,30,27,11,3,11,26,0
2018,12,23,SAC,NOP,122,117,1,42,100,14,31,24,33,12,38,26,9,4,9,21,0,44,94,6,26,23,28,12,46,26,6,9,12,29,0
2018,12,25,NYK,MIL,95,109,0,35,97,8,29,17,21,15,42,17,4,3,14,25,1,40,89,6,32,23,34,6,45,22,9,8,8,19,0
2018,12,25,HOU,OKC,113,109,1,44,97,14,44,11,17,17,37,18,9,4,19,25,0,43,98,9,30,14,21,18,34,23,12,11,15,22,0
2018,12,25,BOS,PHI,121,114,1,45,108,14,41,17,20,13,42,21,8,4,9,21,0,38,92,15,40,23,29,9,47,25,6,4,19,21,0
2018,12,29,CHO,BRK,100,87,0,47,90,13,31,19,24,10,31,22,9,4,16,29,0,38,79,15,35,24,35,5,35,28,6,3,14,17,0
2018,12,29,DEN,SAS,102,99,1,42,76,18,35,20,26,10,30,31,10,3,21,20,1,44,87,6,23,28,31,8,41,27,10,4,15,25,0
2018,12,29,MIL,BRK,129,115,1,47,96,21,51,14,16,5,34,30,6,5,10,22,0,38,79,15,35,24,35,5,35,28,6,3,14,17,0
2018,12,30,ORL,DET,109,107,1,40,85,7,24,22,24,9,36,21,7,4,13,20,0,39,92,8,31,21,23,17,34,21,6,2,11,21,0
2018,12,30,MIA,MIN,104,113,0,37,90,8,24,22,28,17,35,19,8,6,19,28,1,38,94,8,24,29,36,17,32,24,11,10,10,22,0
2018,12,30,TOR,CHI,95,89,1,34,92,9,33,18,20,17,35,17,5,8,11,15,0,33,80,7,20,16,18,7,37,16,7,2,16,16,0
2018,12,31,DAL,OKC,105,103,0,31,74,14,38,26,34,5,44,21,7,3,26,29,1,46,103,6,24,24,35,11,35,22,13,3,10,30,0
2018,12,31,IND,ATL,116,108,1,42,84,11,24,21,29,8,31,29,13,6,11,18,0,41,95,13,32,13,19,21,32,24,8,5,17,23,0
2018,12,31,CHO,ORL,125,100,1,42,85,11,24,30,33,6,40,29,8,1,8,16,0,38,92,10,35,14,19,13,35,22,6,5,11,21,0
